Date, Requests
2008-05-17-10,11492469
2008-05-17-11,11909753
2008-05-17-12,12383416
2008-05-17-13,13556007
2008-05-17-14,14626608
2008-05-17-15,15503390
2008-05-17-16,16035264
2008-05-17-17,16164059
2008-05-17-18,15648796
2008-05-17-19,15461891
2008-05-17-20,15338805
2008-05-17-21,15168188
2008-05-17-22,14345136
2008-05-17-23,13156961
2008-05-18-0,12315019
2008-05-18-1,11688414
2008-05-18-2,11504211
2008-05-18-3,11620897
2008-05-18-4,11268689
2008-05-18-5,10750691
2008-05-18-6,10381853
2008-05-18-7,10235389
2008-05-18-8,10740525
2008-05-18-9,12091828
2008-05-18-10,13243857
2008-05-18-11,13994302
2008-05-18-12,14779367
2008-05-18-13,15728137
2008-05-18-14,16657249
2008-05-18-15,17645805
2008-05-18-16,18348302
2008-05-18-17,18915280
2008-05-18-18,19018730
2008-05-18-19,18912082
2008-05-18-20,18887709
2008-05-18-21,18114550
2008-05-18-22,16550370
2008-05-18-23,14691137
2008-05-19-0,14353009
2008-05-19-1,13816157
2008-05-19-2,14193886
2008-05-19-3,13938858
2008-05-19-4,13031204
2008-05-19-5,12162054
2008-05-19-6,11522867
2008-05-19-7,12284074
2008-05-19-8,13264509
2008-05-19-9,14159012
2008-05-19-10,14532563
2008-05-19-11,14765057
2008-05-19-12,15755207
2008-05-19-13,17690867
2008-05-19-14,19839185
2008-05-19-15,20703359
2008-05-19-16,20901107
2008-05-19-17,20601987
2008-05-19-18,20789181
2008-05-19-19,21180469
2008-05-19-20,21046841
2008-05-19-21,19917002
2008-05-19-22,17628777
2008-05-19-23,15721029
2008-05-20-0,15243842
2008-05-20-1,14768919
2008-05-20-2,14534608
2008-05-20-3,14316113
2008-05-20-4,13312697
2008-05-20-5,12167508
2008-05-20-6,11675781
2008-05-20-7,12613206
2008-05-20-8,13630822
2008-05-20-9,14623850
2008-05-20-10,14803930
2008-05-20-11,14834064
2008-05-20-12,15636480
2008-05-20-13,17582612
2008-05-20-14,19465865
2008-05-20-15,20597488
2008-05-20-16,20539195
2008-05-20-17,20358345
2008-05-20-18,20689277
2008-05-20-19,20805865
2008-05-20-20,20766347
2008-05-20-21,19489320
2008-05-20-22,17499506
2008-05-20-23,15621114
2008-05-21-0,15033135
2008-05-21-1,14534778
2008-05-21-2,14476191
2008-05-21-3,14107059
2008-05-21-4,12761837
2008-05-21-5,11510575
2008-05-21-6,11068253
2008-05-21-7,11897600
