,c1.xlarge,c3.8xlarge,c4.2xlarge,c4.4xlarge,c4.8xlarge,c5.2xlarge,c5.4xlarge,c5.9xlarge,c5.large,c5.xlarge,c5d.2xlarge,c5d.4xlarge,c5d.9xlarge,c5d.xlarge,g2.2xlarge,g2.8xlarge,g3.4xlarge,i3.2xlarge,i3.4xlarge,i3.8xlarge,i3.xlarge,m3.2xlarge,m3.xlarge,m4.10xlarge,m4.16xlarge,m4.2xlarge,m4.4xlarge,m5.12xlarge,m5.2xlarge,m5.4xlarge,m5.xlarge,m5d.12xlarge,m5d.2xlarge,m5d.4xlarge,m5d.xlarge,p2.8xlarge,p2.xlarge,p3.16xlarge,p3.2xlarge,p3.8xlarge,r3.2xlarge,r3.4xlarge,r3.8xlarge,r4.16xlarge,r4.2xlarge,r4.4xlarge,r4.8xlarge,r4.xlarge,r5.2xlarge,r5.4xlarge,r5.xlarge,r5d.24xlarge,r5d.4xlarge,r5d.xlarge,x1.16xlarge,z1d.6xlarge,z1d.large,z1d.xlarge
2018-09-06 17:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,0.0,12.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-19 23:00:00+00:00,0.52,1.68,0.0,0.0,0.0,0.0,0.0,1.53,0.085,0.17,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,0.0,12.24,0.665,1.33,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-20 22:00:00+00:00,0.52,1.68,0.0,0.0,0.0,0.0,0.0,1.53,0.085,0.17,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,0.0,12.24,0.665,1.33,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-27 21:00:00+00:00,0.52,1.68,0.0,0.0,0.0,0.0,0.0,1.53,0.085,0.17,0.1295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.266,0.0,0.0,0.0,0.0,0.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,0.0,12.24,0.665,1.33,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-27 22:00:00+00:00,0.52,1.68,0.0,0.0,0.0,0.0,0.0,1.53,0.0324,0.0648,0.1295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.266,0.0,0.0,0.0,0.0,0.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,0.0,12.24,0.665,1.33,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-28 00:00:00+00:00,0.52,1.68,0.0,0.0,0.0,0.0,0.0,1.53,0.0324,0.0648,0.1295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.266,0.0,0.0,0.0,0.0,0.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,0.0,12.24,0.665,1.33,2.66,0.0,0.0,0.0,0.0,0.0691,0.0,0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-28 02:00:00+00:00,0.52,1.68,0.0,0.0,0.0,0.0,0.0,1.53,0.0324,0.0648,0.1295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.266,0.6477,0.0,0.0,0.0,0.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,0.0,12.24,0.665,1.33,2.66,0.0,0.0,0.0,0.0,0.0691,0.0,0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-28 03:00:00+00:00,0.52,1.68,0.0,0.0,0.0,0.0,0.0,1.53,0.0326,0.0648,0.1295,0.0,0.0,0.0653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.532,0.0618,0.6477,0.0,0.0,0.0,0.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,0.0,12.24,0.665,1.33,2.66,0.0,0.0,0.0,0.0,0.0691,0.0,0.285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-28 04:00:00+00:00,0.52,1.68,0.0,0.0,0.0,0.0,0.0,1.53,0.0326,0.0651,0.1295,0.0,0.0,0.0653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1235,0.0618,0.6477,0.0,0.0,0.0,0.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,0.0,12.24,0.665,1.33,2.66,0.0,0.0,0.0,0.0,0.0691,0.0,0.285,0.0713,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-09-28 05:00:00+00:00,0.52,1.68,0.0,0.0,0.0,0.0,0.0,1.53,0.0326,0.0651,0.1295,0.0,0.0,0.0653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1235,0.0618,0.6477,0.0,0.0,0.0,0.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.48,0.0,12.24,0.665,1.33,2.66,0.0,0.0,0.0,0.0,0.0691,0.0,0.285,0.0713,0.0,0.0,0.0,0.0,0.0,0.0563,0.0
2018-09-28 06:00:00+00:00,0.52,1.68,0.0,0.0,0.0,0.0,0.0,1.53,0.0326,0.0651,0.1295,0.0,0.0,0.0653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1235,0.0618,0.6477,0.0,0.0,0.0,0.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,24.48,0.0,12.24,0.665,1.33,2.66,0.0,0.0,0.0,0.0,0.0691,0.0,0.285,0.0713,0.0,0.0,0.0,0.0,0.0,0.0563,0.0
2018-09-28 07:00:00+00:00,0.52,1.68,0.0,0.0,0.0,0.0,0.0,1.53,0.0326,0.0651,0.1295,0.0,0.0,0.0653,0.0,0.0,0.342,0.0,0.0,0.0,0.0,0.1235,0.0618,0.6477,0.0,0.0,0.0,0.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,24.48,0.0,12.24,0.665,1.33,2.66,0.0,0.0,0.0,0.0,0.0691,0.0,0.285,0.0713,0.0,0.0,0.0,0.0,0.0,0.0563,0.0
2018-09-28 09:00:00+00:00,0.52,0.47,0.0,0.0,0.0,0.0,0.0,1.53,0.0326,0.0651,0.1295,0.0,0.0,0.0653,0.0,0.0,0.342,0.0,0.0,0.0,0.0,0.1235,0.0618,0.6477,0.0,0.0,0.0,0.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,24.48,0.0,12.24,0.665,1.33,2.66,0.0,0.0,0.0,0.0,0.0691,0.0,0.285,0.0713,0.0,0.0,0.0,2.0007,0.0,0.0563,0.0
2018-09-28 10:00:00+00:00,0.52,0.47,0.0,0.0,0.0,0.0,0.0,1.53,0.0326,0.0651,0.1295,0.0,0.0,0.0653,0.0,0.0,0.342,0.0,0.0,0.0,0.0,0.1235,0.0618,0.6477,0.0,0.0,0.0,0.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.068,7.2,0.0,24.48,0.0,12.24,0.665,1.33,2.66,0.0,0.0,0.0,0.0,0.0689,0.0,0.285,0.0713,0.0,0.0,0.0,2.0007,0.0,0.0563,0.0
2018-09-28 11:00:00+00:00,0.52,0.47,0.0,0.0,0.0,0.0,0.0,1.53,0.0326,0.0651,0.1295,0.0,0.0,0.0664,0.0,0.0,0.342,0.0,0.0,0.0,0.0,0.1235,0.0617,0.6477,0.0,0.0,0.0,0.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.068,7.2,0.0,24.48,0.0,12.24,0.665,1.33,2.66,0.0,0.0,0.0,0.0,0.0693,0.0,0.285,0.0713,0.0,0.285,0.0,2.0007,0.0,0.0563,0.0
2018-09-28 12:00:00+00:00,0.52,0.47,0.0,0.0,0.0,0.0,0.0,1.53,0.0326,0.0651,0.1295,0.0,0.583,0.0664,0.0,0.0,0.342,0.0,0.0,0.0,0.0,0.1235,0.0617,0.6477,0.0,0.0,0.0,0.8162,0.0,0.0,0.0,0.0,0.0,0.0,0.068,7.2,0.0,24.48,0.0,12.24,0.665,1.33,2.66,0.0,0.0,0.0,0.0,0.0693,0.0,0.285,0.0713,0.0,0.285,0.0713,2.0007,0.0,0.0563,0.0
2018-09-28 13:00:00+00:00,0.52,0.47,0.0,0.0,0.0,0.0,0.0,1.53,0.0326,0.0651,0.1295,0.0,0.583,0.0664,0.0,0.0,0.3702,0.0,0.0,0.0,0.0,0.1235,0.0617,0.6477,0.0,0.0,0.0,0.8162,0.0,0.0,0.0,0.0,0.0,0.2793,0.068,7.2,0.0,24.48,0.0,12.24,0.1425,1.33,2.66,0.0,0.0,0.0,0.0,0.0693,0.0,0.285,0.0713,1.7492,0.285,0.0713,2.0007,0.0,0.0563,0.0
