,c1.medium,c1.xlarge,c3.2xlarge,c3.4xlarge,c3.8xlarge,c3.large,c3.xlarge,c4.2xlarge,c4.4xlarge,c4.8xlarge,c4.large,c4.xlarge,c5.18xlarge,c5.2xlarge,c5.4xlarge,c5.9xlarge,c5.large,c5.xlarge,c5d.18xlarge,c5d.2xlarge,c5d.4xlarge,c5d.9xlarge,c5d.large,c5d.xlarge,d2.2xlarge,d2.4xlarge,d2.8xlarge,d2.xlarge,f1.16xlarge,f1.2xlarge,f1.4xlarge,g2.2xlarge,g2.8xlarge,g3.16xlarge,g3.4xlarge,g3.8xlarge,g3s.xlarge,h1.16xlarge,h1.2xlarge,h1.4xlarge,h1.8xlarge,i2.2xlarge,i2.4xlarge,i2.8xlarge,i2.xlarge,i3.16xlarge,i3.2xlarge,i3.4xlarge,i3.8xlarge,i3.large,i3.metal,i3.xlarge,m1.large,m1.medium,m1.small,m1.xlarge,m2.2xlarge,m2.4xlarge,m2.xlarge,m3.2xlarge,m3.large,m3.medium,m3.xlarge,m4.10xlarge,m4.16xlarge,m4.2xlarge,m4.4xlarge,m4.large,m4.xlarge,m5.12xlarge,m5.24xlarge,m5.2xlarge,m5.4xlarge,m5.large,m5.xlarge,m5a.12xlarge,m5a.24xlarge,m5a.2xlarge,m5a.4xlarge,m5a.large,m5a.xlarge,m5d.12xlarge,m5d.24xlarge,m5d.2xlarge,m5d.4xlarge,m5d.large,m5d.xlarge,p2.16xlarge,p2.8xlarge,p2.xlarge,p3.16xlarge,p3.2xlarge,p3.8xlarge,r3.2xlarge,r3.4xlarge,r3.8xlarge,r3.large,r3.xlarge,r4.16xlarge,r4.2xlarge,r4.4xlarge,r4.8xlarge,r4.large,r4.xlarge,r5.12xlarge,r5.24xlarge,r5.2xlarge,r5.4xlarge,r5.large,r5.xlarge,r5a.12xlarge,r5a.24xlarge,r5a.2xlarge,r5a.4xlarge,r5a.large,r5a.xlarge,r5d.12xlarge,r5d.24xlarge,r5d.2xlarge,r5d.4xlarge,r5d.large,r5d.xlarge,t1.micro,t2.2xlarge,t2.large,t2.medium,t2.micro,t2.small,t2.xlarge,t3.2xlarge,t3.large,t3.medium,t3.micro,t3.nano,t3.small,t3.xlarge,x1.16xlarge,x1.32xlarge,x1e.16xlarge,x1e.2xlarge,x1e.32xlarge,x1e.4xlarge,x1e.8xlarge,x1e.xlarge,z1d.12xlarge,z1d.2xlarge,z1d.3xlarge,z1d.6xlarge,z1d.large,z1d.xlarge
2018-11-07 22:40:15,0.0131,0.1298,0.1175,0.2374,0.4814,0.0294,0.0588,0.1526,0.2504,0.599,0.0308,0.0617,1.1673,0.1515,0.3035,0.5867,0.0339,0.0711,1.1659,0.2208,0.3296,0.5986,0.0325,0.0724,0.414,0.828,1.656,0.207,13.2,0.495,0.99,0.2315,0.8194,1.368,0.3808,0.684,0.2422,2.9049,0.165,0.33,1.4205,0.5115,1.023,2.046,0.2559,1.4976,0.1955,0.4438,0.9267,0.0468,1.4976,0.0972,0.0175,0.0087,0.0069,0.035,0.3323,0.098,0.0245,0.1353,0.0312,0.0067,0.0618,0.6688,1.0628,0.1328,0.2891,0.0324,0.0669,0.8255,1.6323,0.1598,0.3801,0.0347,0.0731,0.8162,1.6323,0.136,0.2721,0.034,0.068,0.9257,1.6323,0.1545,0.3555,0.035,0.0841,4.32,2.2028,0.2834,9.7588,1.2059,3.9087,0.1613,0.3598,0.6327,0.0323,0.0681,1.2171,0.1658,0.3602,0.5573,0.034,0.0705,0.8592,1.7103,0.1587,0.285,0.0358,0.1163,2.185,1.71,0.1425,0.285,0.0356,0.0713,3.445,1.71,0.1454,0.3241,0.0356,0.0713,0.002,0.1114,0.0278,0.0139,0.0035,0.0069,0.0557,0.1002,0.0251,0.0127,0.0031,0.0016,0.0063,0.0501,2.0534,10.5839,13.344,0.5004,26.688,1.0008,2.0016,0.2502,1.3392,0.2232,0.3348,0.7572,0.0558,0.1452
2018-11-07 22:45:01,0.0131,0.0981,0.1175,0.2374,0.4787,0.0294,0.0588,0.151,0.2524,0.5567,0.0308,0.0617,1.1659,0.1486,0.2878,0.5938,0.0324,0.0701,1.1659,0.1389,0.2591,0.5989,0.0325,0.0687,0.414,0.828,1.656,0.207,13.2,0.495,0.99,0.2249,0.8305,2.9238,0.3754,0.684,0.3073,1.32,0.165,0.33,1.3802,0.5115,1.023,2.046,0.2559,1.4976,0.2028,0.4597,0.8923,0.0468,4.992,0.0968,0.0175,0.0087,0.0071,0.035,0.0499,0.098,0.0245,0.1247,0.0308,0.0067,0.0617,0.754,1.0638,0.1491,0.278,0.0324,0.0655,0.8242,1.6323,0.1637,0.3721,0.0343,0.0742,1.649,1.6323,0.136,0.2721,0.034,0.068,0.8751,1.6404,0.1691,0.3068,0.0343,0.0696,4.32,7.2,0.2751,7.8801,1.1995,4.7137,0.1532,0.3457,0.6294,0.0323,0.0655,1.2922,0.1433,0.304,1.1801,0.0339,0.0692,0.859,1.7103,0.1447,0.4395,0.0356,0.0864,0.855,1.71,0.1425,0.285,0.0356,0.0713,0.855,6.89,0.144,0.3233,0.0356,0.0758,0.002,0.1114,0.0278,0.0139,0.0035,0.0069,0.0557,0.1002,0.0251,0.0125,0.0031,0.0016,0.0063,0.0501,2.0487,10.3281,13.344,0.5004,26.688,1.0008,2.0016,0.2502,1.3392,0.2232,0.3348,0.707,0.0627,0.1578
2018-11-07 22:49:48,0.0135,0.1037,0.1176,0.2374,0.4784,0.0294,0.0588,0.1504,0.3291,0.568,0.0308,0.0617,1.1659,0.1684,0.3166,0.5868,0.0331,0.0689,1.1659,0.1303,0.2591,0.583,0.0324,0.0702,0.414,0.828,1.656,0.207,13.2,0.495,0.99,0.2742,0.78,1.368,0.3764,0.684,0.2413,1.32,0.165,0.33,1.3617,0.5115,1.023,2.046,0.2559,1.4976,0.2203,0.4516,0.87,0.0468,1.4976,0.1033,0.0175,0.0087,0.0044,0.035,0.3481,0.098,0.0245,0.1248,0.0308,0.0067,0.063,0.6477,1.0828,0.1748,0.3233,0.0324,0.0654,0.8241,1.6323,0.1567,0.3457,0.0346,0.0735,1.6981,1.6323,0.136,0.2721,0.034,0.068,0.8162,1.6323,0.2281,0.2877,0.0351,0.0763,4.32,2.16,0.2785,9.7258,1.2082,3.9028,0.1772,0.3134,0.6215,0.0323,0.0741,1.2119,0.1585,0.3689,0.6784,0.0341,0.0707,0.8611,1.7103,0.1573,0.2982,0.0356,0.0771,2.1074,1.71,0.1425,0.285,0.0356,0.0713,3.445,6.89,0.1437,0.3076,0.0356,0.0751,0.002,0.1114,0.0278,0.0139,0.0035,0.0069,0.0557,0.1002,0.0251,0.0125,0.0031,0.0016,0.0063,0.0501,2.0568,10.0,13.344,0.5004,12.2864,1.0008,2.0016,0.2502,1.3392,0.2232,0.3348,0.779,0.058,0.137
2018-11-08 00:55:49,0.0132,0.0764,0.1176,0.237,0.4791,0.0294,0.0588,0.1517,0.2849,0.5696,0.0308,0.0617,1.1659,0.1297,0.2654,0.5859,0.0338,0.0648,1.1659,0.1304,0.2591,0.583,0.0324,0.0721,0.414,0.828,1.656,0.207,13.2,0.495,0.99,0.2054,0.78,4.56,0.3843,0.684,0.2711,1.32,0.165,0.4535,0.66,0.5115,1.023,2.046,0.2559,1.4976,0.624,0.5613,1.0108,0.0468,1.4976,0.1047,0.0175,0.0087,0.0044,0.035,0.0503,0.98,0.0245,0.1244,0.031,0.0067,0.0617,0.6477,1.063,0.1756,0.3252,0.0324,0.0671,0.8162,1.6323,0.1846,0.2721,0.0347,0.0846,1.6406,1.6323,0.136,0.2721,0.034,0.068,0.8162,1.6323,0.1721,0.3062,0.0344,0.0697,4.32,2.16,0.2792,7.7064,1.2018,4.7195,0.1534,0.3601,1.1923,0.0323,0.0736,1.2087,0.1503,0.328,0.6508,0.0339,0.0691,0.855,1.7103,0.1492,0.3365,0.0356,0.0713,2.0974,1.71,0.1425,0.285,0.0356,0.0713,0.855,3.8137,0.1425,0.3845,0.0356,0.0759,0.002,0.1114,0.0278,0.0139,0.0035,0.0069,0.0557,0.1002,0.0251,0.0125,0.0031,0.0016,0.0063,0.0501,2.0578,4.0014,13.344,0.5004,12.8045,1.0008,2.0016,0.2502,1.3392,0.2232,0.3348,0.7173,0.0625,0.1203
2018-11-08 02:00:35,0.013,0.1297,0.1175,0.2373,0.4784,0.0294,0.0588,0.1298,0.2677,0.5581,0.0308,0.062,1.1659,0.13,0.2767,0.5943,0.0333,0.0709,1.1659,0.143,0.2591,0.583,0.0324,0.0648,0.414,0.828,1.656,0.207,13.2,0.495,3.3,0.2314,0.8224,3.0152,0.3792,0.684,0.3159,2.8683,0.165,0.336,0.66,0.6332,1.023,2.046,0.2559,1.4976,0.2173,0.4446,0.8725,0.0468,1.4976,0.106,0.0175,0.0087,0.0044,0.035,0.049,0.098,0.0245,0.1246,0.0312,0.0067,0.0617,0.6477,1.1613,0.1554,0.3075,0.0394,0.0648,0.8162,1.6323,0.1591,0.3361,0.0354,0.0733,1.5933,1.6323,0.136,0.2721,0.034,0.068,1.0867,1.6323,0.1552,0.3548,0.034,0.0717,14.4,2.16,0.4152,7.344,1.1974,12.24,0.1612,0.3455,0.6304,0.0323,0.0733,1.2954,0.1453,0.2923,0.6512,0.0339,0.0693,0.855,1.7103,0.1569,0.3789,0.0356,0.0716,2.0419,1.71,0.1425,0.3361,0.0356,0.0713,0.855,1.71,0.1425,0.3409,0.0356,0.0747,0.002,0.1114,0.0278,0.0139,0.0035,0.0069,0.0557,0.1002,0.0251,0.0125,0.0031,0.0016,0.0073,0.0501,2.0007,4.0014,13.344,0.5004,13.29,1.0008,2.0208,0.2502,1.3392,0.2232,0.3348,0.756,0.0598,0.1448
2018-11-08 03:05:22,0.0134,0.0941,0.1175,0.2371,0.478,0.0294,0.0588,0.1497,0.2508,0.5715,0.0308,0.0631,1.1674,0.1475,0.302,0.5871,0.033,0.0699,1.1659,0.2198,0.3286,0.583,0.0324,0.0648,0.414,0.828,1.656,0.207,13.2,0.495,0.99,0.2253,0.8379,3.0589,0.3741,0.684,0.2721,2.7517,0.165,0.4699,0.66,0.6346,1.023,2.046,0.2559,4.992,0.2018,0.5025,0.9251,0.156,1.4976,0.312,0.0175,0.0087,0.0073,0.035,0.3572,0.098,0.0245,0.1358,0.0313,0.0067,0.0618,0.8458,1.0626,0.1493,0.3643,0.0325,0.0648,0.8162,1.6323,0.1561,0.3795,0.0355,0.0947,1.643,1.6323,0.136,0.2721,0.034,0.068,0.9209,1.6323,0.1539,0.2872,0.0348,0.0758,4.32,7.2,0.2829,24.48,1.2092,3.8878,0.1535,0.3335,0.6318,0.0323,0.0655,1.2228,0.1395,0.6022,0.6023,0.0339,0.0679,0.855,1.7103,0.1442,0.4384,0.0357,0.1187,0.855,1.71,0.1425,0.3294,0.0356,0.0713,3.445,3.712,0.1436,0.3249,0.0356,0.0787,0.002,0.1114,0.0278,0.0139,0.0035,0.0069,0.0557,0.1002,0.0251,0.0126,0.0031,0.0016,0.0063,0.0501,2.0007,4.0014,13.344,0.5004,13.29,1.0008,2.0016,0.2502,1.3392,0.2232,0.3403,0.7114,0.0599,0.1567
2018-11-08 04:10:08,0.0133,0.1008,0.1175,0.2369,0.4792,0.0294,0.0588,0.1511,0.2525,0.5968,0.0308,0.0617,1.1672,0.1513,0.2873,0.583,0.0342,0.0685,1.1659,0.2199,0.3292,0.5987,0.0325,0.0698,0.414,0.828,1.656,0.207,13.2,0.495,0.99,0.2745,0.8249,3.1624,0.3753,0.684,0.2403,2.6409,0.165,0.3378,1.3229,0.6338,1.023,2.046,0.2559,1.4976,0.1951,0.4596,0.8944,0.0468,4.992,0.0969,0.0175,0.0087,0.0076,0.035,0.0504,0.098,0.0245,0.1247,0.0308,0.0067,0.0631,0.6663,1.1841,0.1549,0.2761,0.0391,0.065,0.8162,1.6323,0.1635,0.3714,0.0348,0.0736,1.5879,1.6323,0.136,0.2721,0.034,0.068,0.8734,1.6323,0.1686,0.307,0.034,0.0842,4.32,2.1953,0.27,9.669,1.2043,4.7447,0.1773,0.3137,1.194,0.0323,0.0731,1.2965,0.1394,0.3596,0.5566,0.034,0.069,0.855,1.7103,0.1559,0.2942,0.0356,0.0862,2.0491,1.71,0.1425,0.3282,0.0356,0.0713,0.855,1.7214,0.145,0.3093,0.0356,0.076,0.002,0.1114,0.0278,0.0139,0.0035,0.0069,0.0557,0.1002,0.0251,0.0125,0.0031,0.0016,0.0063,0.0501,2.0007,4.0014,13.344,0.5004,13.6516,1.0008,2.0016,0.2502,1.3392,0.2232,0.3348,0.7565,0.0579,0.1454
2018-11-08 05:14:55,0.0133,0.1262,0.1177,0.2372,0.4779,0.0294,0.0588,0.13,0.3294,0.556,0.0308,0.0617,1.1669,0.1677,0.3165,0.586,0.0339,0.07,1.1659,0.1435,0.3291,0.5835,0.0324,0.0719,0.414,0.828,1.656,0.207,13.2,0.495,0.99,0.2062,0.8449,1.368,0.3812,0.684,0.225,1.32,0.165,0.4698,1.2945,0.6334,1.023,2.046,0.2559,1.4976,0.222,0.4524,0.8726,0.0468,1.4976,0.1034,0.0175,0.0087,0.0078,0.035,0.3628,0.98,0.0245,0.1242,0.0308,0.0067,0.0617,0.7544,1.0842,0.175,0.3082,0.0324,0.0672,0.824,1.6323,0.1843,0.3437,0.0356,0.0845,1.5471,1.6323,0.136,0.2721,0.034,0.068,1.1041,1.6323,0.2279,0.2769,0.0352,0.0718,4.32,2.1959,0.2752,7.5462,1.211,4.7438,0.154,0.3602,0.6214,0.0323,0.0682,1.2144,0.166,0.3027,1.1751,0.0339,0.0692,0.8615,1.7103,0.1425,0.3364,0.0356,0.0772,1.9823,1.71,0.1425,0.3286,0.0356,0.0713,3.445,3.5967,0.1442,0.3231,0.0356,0.0753,0.002,0.1114,0.0278,0.0139,0.0035,0.0069,0.0557,0.1002,0.0251,0.0125,0.0031,0.0016,0.0074,0.0501,2.0596,4.0014,13.344,0.5004,26.688,1.0008,2.0235,0.2502,1.3392,0.2232,0.3348,0.6696,0.0626,0.1435
2018-11-08 06:19:41,0.0133,0.0766,0.1176,0.2374,0.4785,0.0294,0.0588,0.1234,0.2674,0.5688,0.0308,0.0617,1.1659,0.1295,0.3027,0.595,0.034,0.071,1.1659,0.1304,0.2591,0.5989,0.0324,0.0684,0.414,0.828,1.656,0.207,13.2,0.495,0.99,0.2328,0.8276,3.2469,0.3783,0.684,0.3216,1.32,0.1651,0.3402,1.2547,0.5115,1.023,2.046,0.2559,1.4976,0.1949,0.4444,1.0135,0.0468,1.4976,0.1048,0.0175,0.0087,0.0044,0.035,0.049,0.098,0.0245,0.1244,0.0311,0.0067,0.0617,0.8463,1.0616,0.1495,0.3247,0.0324,0.0674,0.8162,1.6323,0.1584,0.3382,0.0347,0.0743,0.8162,1.6323,0.136,0.2721,0.034,0.068,0.8744,1.6323,0.1722,0.3545,0.0353,0.0754,4.32,2.2023,0.2782,7.5636,1.2068,3.9208,0.1615,0.3331,0.6312,0.0323,0.0656,1.2139,0.1454,0.368,0.6488,0.0339,0.0708,0.8625,1.7103,0.1562,0.3772,0.0356,0.1188,2.0438,1.71,0.1425,0.285,0.0356,0.0713,0.855,1.7241,0.1434,0.3446,0.0356,0.0794,0.002,0.1114,0.0278,0.0139,0.0035,0.0069,0.0557,0.1002,0.0251,0.0125,0.0031,0.0016,0.0063,0.0501,2.0007,9.9412,13.344,0.5004,26.688,1.0008,2.025,0.2502,1.3392,0.2232,0.35,0.718,0.0624,0.12
2018-11-08 07:24:28,0.013,0.0905,0.1176,0.237,0.4815,0.0294,0.0588,0.1507,0.2863,0.5553,0.0308,0.0617,1.1659,0.1472,0.2797,0.5874,0.0335,0.0687,1.1659,0.1387,0.2591,0.5993,0.0324,0.0694,0.414,0.828,1.656,0.207,13.2,0.495,3.3,0.2749,0.8516,1.368,0.375,0.684,0.2697,2.6075,0.1667,0.4701,1.2379,0.5115,1.023,2.046,0.2559,1.4976,0.2181,0.5604,0.8765,0.0468,1.4976,0.0971,0.0175,0.0087,0.0044,0.035,0.3692,0.098,0.0245,0.1368,0.0313,0.0067,0.0617,0.6652,1.0633,0.1497,0.3234,0.0324,0.0656,0.8162,1.6323,0.1702,0.3796,0.0343,0.0945,1.5946,1.6323,0.136,0.2721,0.034,0.068,0.9229,1.6323,0.1553,0.2869,0.0355,0.0693,14.4,2.1992,0.4143,9.6648,1.2098,3.672,0.1537,0.3472,0.6302,0.0323,0.0728,1.2108,0.1582,0.3267,0.6796,0.0341,0.0691,0.8556,1.7103,0.1556,0.4354,0.0356,0.0859,1.9981,1.71,0.1425,0.285,0.0356,0.0713,0.855,1.71,0.1444,0.3877,0.0356,0.0759,0.002,0.1114,0.0278,0.0139,0.0035,0.0069,0.0557,0.1002,0.0251,0.0125,0.0031,0.0016,0.0063,0.0501,2.0691,9.6217,13.344,0.5004,14.2272,1.0008,2.0263,0.2502,1.3392,0.2232,0.3348,0.7594,0.06,0.1453
